"id","profileName","text","date","title","rating","images","helpful","Colour","Size name"
"R2QM4TQCADG50N","Ashok Das"," Wanted 2 buy iPhone 14pro or max as the picture displayed like similar when you compare iPhone with pro and max. Hence it is Amazon who should have given me an options for various colors while loading and to choose from its 14 series..late uploaded though as I bought it as on sep 24th 2022.In regards the phone it is just like a cream in your hand , immensely smooth and the performance is at par. I would rate the rear camera A++ however they should have offered the charger at least along with cable.","Reviewed in India on 15 October 2022","Nice phone but could be improved more",4,"https://m.media-amazon.com/images/I/51sWXz4sabL.jpg
https://m.media-amazon.com/images/I/71-kfv2-TDL.jpg","4","Blue","256 GB"
"R3QN7WHCT1NEQA","Prasanna","About the phoneApple phone without a second delay, I would say it is better than all android phones I have used. The phone is like water, it flows in a way you want and shaping in your way. In a best way possible, the phone is designed to only show what the user wants and eliminating unnecessary ads, features that I have seen in android.Why it is better than Android?You pay too much money for Apple products, obviously you experience the features, physical components , camera lens etc. Apart from basic things, you can also enjoy the best applications available in app store. If you are a developer you might know the app store policy for application publish and their security posture towards handling payment apps etc. They publish best application and the way the apps, its modules switches is just flawless. Due to the so called strict policy of privacy program with Apple products, iPhone can pop up a box in your screen if any apps wants to track your activity with other applications. +1 respect for apple to show such concern with user.Apple phones are same ? like 13 vs 14The reason 14 is same as 13 may be business practice followed from 11th edition. But please note that iPhone making changes internally like physical components (small change in battery performance, lens in 14 edition), additional features but that may not satisfy you to buy 14 edition. If you do not find ""the very few changes"" interesting in 14,  go for 13. Because physical and even cameras are not visually very much different in 13 vs 14 comparison. Also you get 13 for cheap :)14 is just added features but that is not for daily use, the features real time use is rare case. But the best part is there is no extra cost between 13 vs 14 prices (except extra 10k slash)Concern you must have.Apple is not giving chargers and their silicon cases are very expensive (but very good in touch and scratch friendly in back due to silk layer). This is an issue for sure. You have to buy charger not coming with USB C and claiming that you help carbon footprint, understandable but not customer friendly business model. Even after the purchase I had to spend at least 7k for charger and case.Apple care.I am not buying it, I pay for phone which is already expensive for this premium and apple care does have strict policy that if you understand that is waste. Instead I find a private insurance to make things better.","Reviewed in India on 22 September 2022","Exceeding my expectation. Go for it.",5,"","114","Red","128 GB"
"REY5FHIOIHI30","Munish Sharma","Motion camera is good rest all features are of 1 13","Reviewed in India on 2 October 2022","Same as I ph 13 nevertheless I bought it I 13 price",4,"","30","Red","128 GB"
"R3NX22X96H3RYP","Amrut padharinath Kangane","Very very good product","Reviewed in India on 5 October 2022","Good product",5,"","4","Purple","128 GB"
"RLN548Q726NX","DS Parihar","The mobile is awesome but made fewer upgradations on it’s previous segment.","Reviewed in India on 2 October 2022","Amazing product",5,"","6","Blue","256 GB"
"R1YK6BTEEP6YYG","arshadtm",,"Reviewed in India on 6 October 2022","👍🏻👍🏻👍🏻👍🏻👍🏻",5,"https://m.media-amazon.com/images/I/71BE+yx-lgL.jpg","8","Blue","256 GB"
"RKCKA25ZAOSMI","LALITKUMARBHARDWAJAmazon Customer","Nice","Reviewed in India on 23 September 2022","I love iPhone",5,"","14","Purple","128 GB"
"R3F7MY168QWDF7","amatraveler","You may have an urge to return the item after the unboxing crazy but hangin there","Reviewed in India on 20 September 2022","Product match the descriptions.",5,"https://m.media-amazon.com/images/I/815OTM236pL.jpg
https://m.media-amazon.com/images/I/81phJSG03fL.jpg","58","Red","128 GB"
"R3HRYRF02522UY","Mohd Aadil","If you wanna buy, then go for 14 pro or 13 pro max.  No use of buying latest version (14) with nothing new except camera.","Reviewed in India on 22 September 2022","Better to have 13 pro than 14",3,"","22","Red","512 GB"
"R3UXZI3NPWU8AG","rajpal yadav","Colour is not good very bad colourOnce purchase Amazon not change colour","Reviewed in India on 21 September 2022","Very bad colour and Amazon not change colour one purchase after",1,"https://m.media-amazon.com/images/I/511q8iUcRkL.jpg
https://m.media-amazon.com/images/I/61Ycl7d9j9L.jpg","63","Red","128 GB"
"R1EJZOY9XBVJIP","Pavan kumar","Most advanced camera systems with built in quality phone. Display is amazing and the video recording with cinematic mode is outstanding","Reviewed in India on 5 October 2022","Quite expensive but worth it",5,"","4","Blue","512 GB"
"R2D1ET2XUGLKE7","Anand Kumar Singh","If you ask me this is tweaked since previous iPhone 13 model and only add few features which is negligible for almost everyone.This phone will worth it on next Great Indian festival sale which is 2023.","Reviewed in India on 21 September 2022","Definitely it’s worth it",5,"","13","Blue","128 GB"
